loopIteration,time,gyroADC[0],gyroADC[1],gyroADC[2]
0,2109160652,11,5,-0
1,2109405984,10,-2,0
2,2109409384,10,-2,-0
3,2109412796,9,-2,-1
4,2109416168,9,-2,-1
5,2109419544,9,-2,-2
6,2109422916,9,-2,-2
7,2109426308,10,-2,-2
8,2109429708,9,-2,-2
9,2109433096,10,-3,-1
10,2109436484,9,-2,-1
11,2109439896,10,-2,-1
12,2109443324,10,-2,-1
13,2109446748,10,-2,-0
14,2109450176,10,-2,0
15,2109453584,10,-2,0
16,2109456984,10,-3,1
17,2109460388,10,-2,2
18,2109463792,10,-3,1
19,2109467192,10,-3,2
20,2109470612,10,-3,2
21,2109474044,10,-3,2
22,2109481980,10,-3,3
23,2109485404,10,-3,2
24,2109488816,10,-3,2
25,2109492216,10,-3,2
26,2109495636,10,-3,2
27,2109499036,10,-3,2
28,2109502436,10,-3,1
29,2109505840,10,-3,1
30,2109509256,10,-3,1
31,2109512680,10,-3,1
32,2109516100,10,-3,0
33,2109519504,10,-3,0
34,2109522924,10,-3,0
35,2109526348,10,-3,0
36,2109529768,10,-3,0
37,2109533176,9,-3,0
38,2109536572,10,-3,-0
39,2109539996,9,-3,-0
40,2109543420,10,-2,-0
41,2109546852,10,-3,0
42,2109550284,10,-2,-0
43,2109553708,10,-2,0
44,2109557124,10,-2,0
45,2109563720,10,-2,1
46,2109567128,10,-2,1
47,2109570516,10,-2,1
48,2109573928,10,-2,1
49,2109577356,10,-2,2
50,2109580768,10,-2,2
51,2109584172,10,-2,2
52,2109587600,10,-2,2
53,2109591008,10,-2,3
54,2109594436,10,-2,3
55,2109597856,10,-2,2
56,2109601272,10,-3,3
57,2109604700,10,-3,2
58,2109608120,10,-2,3
59,2109611544,10,-3,2
60,2109614956,10,-3,2
61,2109618368,10,-3,2
62,2109621764,10,-3,1
63,2109625164,10,-3,1
64,2109628572,10,-2,1
65,2109631968,10,-2,1
66,2109635384,10,-3,1
67,2109638820,10,-2,0
68,2109645352,10,-2,-0
69,2109648772,10,-2,-1
70,2109652188,10,-2,-1
71,2109655596,10,-1,-1
72,2109659016,10,-2,-1
73,2109662420,10,-1,-0
74,2109665828,10,-1,-1
75,2109669252,10,-2,-0
76,2109672672,10,-1,-0
77,2109676100,10,-2,-1
78,2109679528,10,-2,1
79,2109682940,10,-2,0
80,2109686336,10,-2,0
81,2109689748,10,-2,1
82,2109693168,10,-2,1
83,2109696564,10,-2,1
84,2109699964,10,-2,1
85,2109703364,10,-2,1
86,2109706748,10,-2,2
87,2109710164,10,-2,2
88,2109713588,10,-2,2
89,2109716976,10,-2,2
90,2109720376,10,-2,2
91,2109726844,10,-1,1
92,2109730228,10,-1,2
93,2109733616,10,-1,2
94,2109737028,10,-1,2
95,2109740432,10,-1,2
96,2109743820,10,-2,2
97,2109747224,10,-1,2
98,2109750612,10,-2,2
99,2109754024,10,-2,2
100,2109757420,10,-2,2
101,2109760844,10,-2,2
102,2109764264,10,-2,2
103,2109767696,10,-2,1
104,2109771104,10,-2,1
105,2109774528,10,-2,1
106,2109777952,10,-2,1
107,2109781368,10,-2,2
108,2109784792,10,-2,1
109,2109788232,10,-2,2
110,2109791656,10,-3,1
111,2109795056,10,-2,1
112,2109798492,10,-2,1
113,2109801916,10,-2,2
114,2109808420,10,-2,1
115,2109811840,10,-2,1
116,2109815268,10,-2,1
117,2109818696,10,-2,1
118,2109822136,10,-3,1
119,2109825564,10,-2,2
120,2109828976,10,-2,1
121,2109832400,10,-3,1
122,2109835828,10,-3,2
123,2109839248,10,-2,2
124,2109842656,10,-2,2
125,2109846056,10,-2,2
126,2109849468,11,-1,2
127,2109852888,10,-1,2
128,2109856312,10,-1,2
129,2109859736,11,-1,2
130,2109863176,11,-1,2
131,2109866596,10,-1,3
132,2109870032,11,-1,3
133,2109873452,10,-1,3
134,2109876880,10,-1,3
135,2109880308,10,-2,3
136,2109886676,10,-2,3
137,2109890100,10,-2,3
138,2109893520,10,-2,3
139,2109896944,10,-1,2
140,2109900388,10,-2,3
141,2109903816,10,-2,3
142,2109907268,10,-2,3
143,2109910708,10,-2,3
144,2109914148,10,-3,2
145,2109917560,10,-2,3
146,2109920984,10,-2,2
147,2109924428,10,-2,3
148,2109927868,10,-2,3
149,2109931324,10,-3,3
150,2109934760,10,-2,3
151,2109938196,10,-2,2
152,2109941640,10,-2,3
153,2109945080,11,-2,2
154,2109948504,10,-2,2
155,2109951916,10,-2,2
156,2109955332,10,-2,2
157,2109958752,10,-2,2
158,2109965100,10,-2,1
159,2109968536,10,-2,1
160,2109971964,10,-2,1
161,2109975396,10,-2,1
162,2109978824,10,-3,1
163,2109982260,10,-2,1
164,2109985688,10,-2,1
165,2109989124,10,-2,1
166,2109992560,10,-2,1
167,2109995976,10,-2,1
168,2109999404,10,-2,1
169,2110002824,10,-2,0
170,2110006240,10,-1,1
171,2110009648,10,-2,1
172,2110013084,10,-2,1
173,2110016504,10,-2,1
174,2110019940,10,-2,1
175,2110023368,10,-2,1
176,2110026788,10,-2,1
