loopIteration,time,gyroADC[0],gyroADC[1],gyroADC[2]
0,19771936,5,-5,-0
1,19853684,4,-1,-0
2,19857040,5,-2,-0
3,19860380,3,-3,0
4,19863680,1,-1,0
5,19867012,0,1,0
6,19870324,1,0,-0
7,19873652,0,-0,0
8,19877000,0,0,0
9,19880320,1,0,-0
10,19883640,0,0,0
11,19886984,-1,-0,0
12,19890372,-1,-0,-0
13,19893764,-0,-0,-0
14,19897156,0,-0,0
15,19900520,0,-0,-0
16,19903884,-0,-1,0
17,19907244,-2,-0,1
18,19910608,-3,0,0
19,19913964,-2,1,0
20,19917328,-1,0,0
21,19920692,0,-0,0
22,19924040,-1,0,0
23,19927388,-3,1,0
24,19930744,-4,1,0
25,19937996,-2,1,-0
26,19941368,-2,1,0
27,19944748,-3,1,0
28,19948112,-3,1,0
29,19951480,-3,0,0
30,19954820,-2,0,0
31,19958172,-1,0,1
32,19961528,-0,0,0
33,19964888,-0,0,0
34,19968240,-0,0,0
35,19971588,0,0,0
36,19974908,1,0,0
37,19978264,2,0,0
38,19981608,3,0,0
39,19984956,3,0,0
40,19988300,3,1,0
41,19991656,3,1,0
42,19994992,3,0,0
43,19998340,3,0,0
44,20001676,3,0,0
45,20005024,3,0,0
46,20008384,3,0,0
47,20011716,2,-0,0
48,20015080,3,-0,0
49,20018440,2,-0,0
50,20021800,2,-0,0
51,20025156,2,-0,0
52,20032916,1,-0,0
53,20036252,1,0,0
54,20039600,1,-0,-0
55,20042956,1,0,0
56,20046284,0,0,0
57,20049616,-0,0,0
58,20052972,-0,0,0
59,20056320,-0,0,0
60,20059660,-0,0,0
61,20063000,-0,0,0
62,20066356,-0,0,0
63,20069704,-0,0,0
64,20073072,-0,-0,0
65,20076448,0,-0,0
66,20079816,0,-0,0
67,20083184,1,-0,1
68,20086544,1,-0,1
69,20089904,1,-0,0
70,20093248,2,-0,0
71,20096604,2,-0,1
72,20099976,2,-0,0
73,20103360,2,-0,0
74,20106720,2,-0,0
75,20110080,2,-0,0
76,20113456,3,0,0
77,20116800,3,-0,0
78,20120156,2,0,0
79,20126688,2,0,0
80,20130028,1,0,0
81,20133368,1,0,0
82,20136688,0,0,0
83,20140024,-0,0,0
84,20143380,-0,-0,0
85,20146756,-1,-0,0
86,20150120,-1,-0,0
87,20153496,-1,-0,1
88,20156864,-2,-0,1
89,20160224,-2,-0,0
90,20163612,-2,-0,0
91,20166984,-2,-0,0
92,20170348,-2,-0,0
93,20173716,-2,-0,0
94,20177092,-1,-0,1
95,20180468,-1,0,0
96,20183812,-1,0,0
97,20187172,-1,0,-0
98,20190532,-1,0,0
99,20193896,-1,1,-0
100,20197268,-1,1,-0
101,20200660,-0,1,-0
102,20204060,-0,1,-0
103,20207468,-0,0,-0
104,20210852,0,1,-0
105,20217440,0,0,0
106,20220808,0,0,-0
107,20224204,1,0,-0
108,20227580,1,-0,0
109,20230956,1,-0,0
110,20234340,1,-0,0
111,20237724,1,-1,0
112,20241116,1,-1,-0
113,20244520,1,-1,0
114,20247892,1,-0,0
115,20251264,1,-0,0
116,20254652,1,-0,-0
117,20258052,1,0,-0
118,20261424,1,0,-0
119,20264796,0,1,-0
120,20268180,0,1,-0
121,20271564,-0,1,-0
122,20274944,-1,1,-1
123,20278340,-1,1,-1
124,20281724,-1,1,-1
125,20285100,-1,1,-1
126,20288480,-2,1,-1
127,20291880,-2,1,-1
128,20295268,-2,1,-1
129,20298656,-2,1,-1
130,20302048,-1,1,-0
131,20313564,-1,0,-0
132,20316936,-1,0,-0
133,20320352,-1,-0,-0
134,20323760,-1,-0,-0
135,20327168,-0,-0,-0
136,20330596,0,-0,-0
137,20333980,0,-0,-0
138,20337376,1,-0,-0
139,20340780,1,-0,-0
140,20344188,1,-0,-0
141,20347580,1,0,-1
142,20350956,1,0,-1
143,20354344,1,1,-1
144,20357728,0,1,-1
145,20361100,0,1,-1
146,20364468,0,1,-1
147,20367832,-0,1,-1
148,20371212,-0,1,-1
149,20374608,-1,1,-1
150,20377988,-1,1,-1
151,20381364,-1,1,-0
152,20384752,-2,0,-0
153,20388128,-2,0,-0
154,20391512,-2,0,-0
155,20399228,-2,-1,-0
156,20402628,-1,-1,0
157,20406020,-1,-1,0
158,20409420,-1,-1,0
159,20412812,-1,-1,0
160,20416204,-1,-0,0
161,20419604,-1,-0,-0
162,20423008,-1,0,0
163,20426388,-0,0,0
164,20429768,-0,0,0
165,20433148,-0,0,-0
166,20436548,-1,1,-0
167,20439932,-0,1,-0
168,20443324,-0,0,-0
169,20446716,-1,0,-0
170,20450096,-1,0,0
171,20453492,-1,0,-0
172,20456888,-1,-0,0
173,20460296,-1,-0,-0
174,20463712,-1,-0,0
175,20467108,-1,-1,-0
176,20470524,-1,-1,0
177,20473944,-1,-0,-0
178,20477368,-1,-0,-0
179,20484156,-1,0,-0
