loopIteration,time,gyroADC[0],gyroADC[1],gyroADC[2]
0,44648600,2,-2,1
1,44730976,8,0,2
2,44734312,6,-3,1
3,44737672,5,-5,1
4,44741000,3,-6,1
5,44744336,-0,-5,2
6,44747688,2,-6,2
7,44751048,4,-8,2
8,44754384,6,-6,2
9,44757732,6,-2,1
10,44761052,5,0,1
11,44764376,6,-2,2
12,44767732,6,-1,2
13,44771080,6,0,1
14,44774444,5,-1,1
15,44777788,5,-1,2
16,44781152,5,1,2
17,44784496,5,1,1
18,44787860,5,-1,0
19,44791216,4,-1,1
20,44794572,4,-0,0
21,44797932,3,-1,0
22,44801292,3,-1,1
23,44804652,3,-3,1
24,44808028,3,-3,0
25,44816208,2,-2,1
26,44819564,2,-3,1
27,44822916,2,-3,1
28,44826268,1,-3,1
29,44829632,1,-4,1
30,44832996,0,-4,1
31,44836344,0,-4,1
32,44839696,0,-3,1
33,44843084,-0,-3,1
34,44846456,-0,-4,1
35,44849832,-1,-4,1
36,44853220,-1,-3,1
37,44856592,-1,-3,1
38,44859972,-1,-3,0
39,44863348,-1,-3,0
40,44866736,-1,-2,0
41,44870112,-1,-2,0
42,44873484,-1,-2,0
43,44876864,-1,-2,0
44,44880236,-1,-1,0
45,44883608,-1,-1,0
46,44886992,-1,-1,0
47,44890360,-1,-1,0
48,44893716,-0,-1,0
49,44897080,-0,-2,0
50,44900452,-0,-1,0
51,44907984,0,-1,0
52,44911348,-0,-1,0
53,44914700,-0,-1,0
54,44918084,-1,-1,0
55,44921456,-1,-1,1
56,44924828,-1,-1,0
57,44928196,-0,-0,0
58,44931556,-1,0,0
59,44934904,-1,1,0
60,44938276,-3,1,0
61,44941640,-4,1,0
62,44945008,-3,-0,-0
63,44948400,-2,0,-0
64,44951768,-2,1,-0
65,44955152,-2,1,-1
66,44958516,-3,1,-0
67,44961900,-4,1,-0
68,44965264,-4,1,-0
69,44968636,-4,1,-0
70,44972004,-3,1,-0
71,44975384,-3,1,-1
72,44978760,-3,1,-1
73,44982132,-3,1,-0
74,44985504,-3,1,-0
75,44988864,-3,1,-0
76,44992228,-3,1,-0
77,44998860,-2,1,-0
78,45002216,-1,1,-0
79,45005560,-1,1,-0
80,45008940,-1,1,0
81,45012280,-1,1,0
82,45015620,-1,0,0
83,45018984,-1,0,-0
84,45022352,-0,-0,0
85,45025716,-0,-0,0
86,45029076,0,-0,0
87,45032408,0,0,0
88,45035752,1,-0,0
89,45039108,1,-0,0
90,45042448,1,0,0
91,45045780,1,0,0
92,45049100,1,0,0
93,45052412,1,0,0
94,45055732,1,0,0
95,45059068,1,0,0
96,45062400,1,0,0
97,45065740,1,0,0
98,45069072,1,0,0
99,45072404,1,0,0
100,45075728,1,0,0
101,45079084,1,0,0
102,45082448,1,-0,0
103,45085828,1,0,0
104,45092292,1,-0,0
105,45095668,1,-0,0
106,45099056,1,0,0
107,45102408,1,-0,0
108,45105784,1,0,1
109,45109136,1,0,0
110,45112492,0,0,0
111,45115836,0,0,0
112,45119184,0,0,0
113,45122532,0,0,0
114,45125896,0,0,0
115,45129248,-0,0,0
116,45132628,-0,0,-0
117,45136008,-0,0,0
118,45139388,-1,0,0
119,45142776,-1,-0,0
120,45146184,-1,0,0
121,45149564,-1,-0,0
122,45152964,-1,-0,0
123,45156376,-1,0,-0
124,45159760,-1,0,0
125,45163148,-1,0,-0
126,45166520,-1,0,0
127,45169924,-1,0,-0
128,45173308,-1,0,0
129,45176664,-1,0,0
130,45183168,-1,0,0
131,45186528,-1,0,0
132,45189888,-0,0,0
133,45193256,-0,0,0
134,45196628,-0,0,-0
135,45199996,-0,0,0
136,45203364,-0,-0,0
137,45206764,0,-0,0
138,45210124,0,-0,0
139,45213488,0,-0,0
140,45216848,1,0,0
141,45220180,1,0,0
142,45223516,0,0,0
143,45226868,1,0,0
144,45230244,0,0,0
145,45233596,0,0,0
146,45236932,0,0,0
147,45240280,0,0,0
148,45243640,0,-0,0
149,45247000,0,0,0
150,45250348,0,0,0
151,45253720,0,-0,0
152,45257092,-0,-0,0
153,45260480,0,-0,0
154,45263864,0,0,0
155,45267232,-0,0,0
156,45273600,-0,0,0
157,45276976,-0,0,-0
158,45280368,-1,-0,0
159,45283756,-1,-0,0
160,45287140,-0,0,0
161,45290524,-1,-0,-0
162,45293916,-0,-0,0
163,45297300,-0,0,0
164,45300672,-0,0,0
165,45304052,-0,0,-0
166,45307428,-0,0,0
167,45310796,-0,0,0
168,45314180,0,-0,0
169,45317532,0,0,0
170,45320896,0,-0,0
171,45324268,0,-0,0
172,45327636,0,-0,0
173,45330992,0,0,0
174,45334348,1,0,0
175,45337716,1,-0,0
176,45341084,1,-0,0
177,45344440,0,-0,0
178,45347800,1,0,0
179,45351164,1,-0,0
180,45354544,1,-0,0
181,45357916,1,0,0
182,45364316,0,-0,0
183,45367684,0,-0,0
184,45371048,0,-0,0
185,45374428,0,0,-0
186,45377796,0,0,0
187,45381168,0,-0,0
188,45384560,-0,-0,0
189,45387960,-0,-0,-0
190,45391348,-1,0,0
191,45394724,-1,-0,0
192,45398120,-1,-0,0
193,45401500,-1,-0,0
194,45404888,-1,-0,-0
195,45408324,-1,-0,0
196,45411708,-1,-0,0
197,45415100,-1,-0,0
198,45418508,-1,-0,0
199,45421872,-1,0,0
200,45425256,-1,0,-0
201,45428632,-0,-0,0
202,45432008,-0,0,0
203,45435372,-0,0,0
204,45438740,-0,0,0
205,45442124,-0,-0,0
206,45448644,-0,0,0
207,45452012,-0,0,0
208,45455392,-0,0,0
209,45458740,0,0,0
210,45462084,0,-0,0
211,45465452,0,0,0
212,45468820,0,-0,0
213,45472180,0,-0,0
214,45475540,0,-0,0
215,45478904,0,-0,0
216,45482264,0,-0,0
217,45485640,0,-0,-0
218,45489012,1,-0,0
219,45492388,1,0,0
220,45495736,1,0,0
221,45499072,0,0,0
222,45502408,0,0,0
223,45505768,0,-0,0
224,45509152,0,-0,0
225,45512532,-0,-0,0
226,45515916,-0,0,0
227,45519280,-0,0,-0
228,45522660,-0,-0,-0
229,45526072,-0,-0,-0
230,45529496,0,-0,0
231,45532876,0,-0,-0
232,45539424,-0,-0,-0
233,45542812,0,-0,0
234,45546168,0,-1,0
235,45549544,0,-0,0
236,45552912,0,-0,0
237,45556280,1,0,0
238,45559632,1,-0,0
239,45563008,1,-0,-0
240,45566384,1,-0,0
241,45569764,1,-0,-0
242,45573188,1,-0,-0
243,45576576,1,0,0
244,45579932,1,-0,0
245,45583304,2,-0,-0
246,45586688,1,-0,-0
247,45590060,2,-0,0
248,45593440,2,-0,-0
249,45596820,2,-0,0
250,45600188,2,-0,0
251,45603548,2,-0,0
252,45606920,2,-0,0
253,45610284,3,-1,0
254,45613664,3,-0,0
255,45617052,3,0,1
256,45620416,3,0,0
257,45626884,3,-0,0
258,45630260,3,-0,0
259,45633648,2,0,1
260,45637012,3,0,1
261,45640364,2,0,0
262,45643724,2,-0,0
263,45647092,2,0,0
264,45650440,2,0,0
265,45653796,1,-0,0
266,45657188,1,-0,0
267,45660580,1,-0,0
268,45663948,0,0,0
269,45667296,0,0,0
270,45670668,0,-0,0
271,45674060,-0,-0,0
272,45677452,-1,0,0
273,45680832,-1,0,0
