loopIteration,time,gyroADC[0],gyroADC[1],gyroADC[2]
237,18555992,1,0,0
238,18559344,1,-0,0
239,18562716,1,-0,0
240,18566080,1,-0,0
241,18569456,1,-0,0
242,18572820,1,0,0
243,18576184,1,-0,0
244,18579564,1,-0,0
245,18582924,1,-0,0
246,18586288,1,-0,0
247,18589652,1,0,0
248,18593012,1,0,0
249,18596372,0,-0,0
250,18599752,1,0,0
251,18603116,0,-0,0
252,18606476,0,-0,0
253,18609844,1,-0,0
254,18613216,0,-0,0
255,18616592,0,-0,0
256,18623144,0,-0,0
257,18626516,0,-0,0
258,18629904,0,-0,0
259,18633272,-0,0,0
260,18636644,-0,0,0
261,18640028,-0,-0,0
262,18643404,-0,-0,0
263,18646792,-0,-0,0
264,18650188,-0,-0,-0
265,18653600,-1,-0,0
266,18656972,-0,0,0
267,18660344,-0,-0,0
268,18663740,-0,-0,0
269,18667116,-0,-0,0
270,18670504,-0,-0,0
271,18673904,0,0,0
272,18677268,-0,-0,0
273,18680648,-0,0,0
274,18684040,-0,-0,0
275,18687432,0,-0,0
276,18690800,-0,-0,0
277,18694200,0,-0,0
278,18697576,0,-0,0
279,18700944,0,-0,0
280,18704308,0,-0,0
281,18710860,0,-0,0
282,18714224,0,-0,0
283,18717584,1,0,0
284,18720956,1,-0,0
285,18724336,0,-0,0
286,18727704,1,-0,0
287,18731080,1,-0,0
288,18734436,1,0,0
289,18737796,1,-0,0
290,18741172,1,-0,0
291,18744548,0,-0,0
292,18747916,0,-0,0
293,18751280,0,-0,0
294,18754660,1,-0,0
295,18758012,1,0,0
296,18761364,0,-0,0
297,18764724,0,0,0
298,18768096,0,-0,0
299,18771468,0,-0,0
300,18774844,0,-0,0
301,18778224,0,0,0
302,18781568,-0,0,0
303,18784940,0,-0,0
304,18788324,-0,-0,0
305,18791712,-0,-0,0
306,18795104,-0,-0,0
307,18801716,-0,-0,0
308,18805104,-0,0,0
309,18808484,-0,-0,0
310,18811872,-0,-0,0
311,18815264,-0,0,0
312,18818656,-0,-0,-0
313,18822064,-0,-0,0
314,18825448,-0,-0,0
315,18828828,-0,-0,0
316,18832208,-0,-0,0
317,18835612,-0,-0,0
318,18838992,0,0,0
319,18842356,-0,0,0
320,18845740,-0,-0,0
321,18849120,-0,-0,0
322,18852500,0,-0,0
323,18855872,0,-0,0
324,18859244,0,0,0
325,18862584,0,0,0
326,18865936,0,-0,0
327,18869308,0,-0,0
328,18872672,0,-0,0
329,18876040,0,-0,0
330,18879408,1,0,0
331,18882780,1,-0,0
332,18889360,0,-0,0
333,18892732,0,-0,0
334,18896096,1,-0,0
335,18899456,0,0,0
336,18902808,0,-0,0
337,18906188,0,-0,0
338,18909560,0,-0,0
339,18912920,0,-0,0
340,18916296,0,-0,0
341,18919664,0,-0,0
342,18923028,0,0,0
343,18926392,0,-0,0
344,18929780,0,-0,0
345,18933156,0,-0,0
346,18936516,0,-0,0
347,18939892,-0,0,0
348,18943260,0,-0,0
349,18946616,0,0,0
350,18949972,0,0,0
351,18953348,-0,-0,0
352,18956728,-0,-0,0
353,18960132,-0,-0,0
354,18963508,0,0,0
355,18966872,-0,-0,0
356,18970268,-0,-0,0
357,18976724,-0,-0,0
358,18980124,0,-0,0
359,18983508,0,-0,0
360,18986884,-0,-0,0
361,18990272,-0,0,0
362,18993652,-0,-0,0
363,18997036,-0,-0,0
364,19000436,-0,-0,0
365,19003824,-0,0,0
366,19007180,0,0,0
367,19010548,0,-0,0
368,19013928,-0,-0,0
369,19017316,0,-0,0
370,19020680,-0,-0,0
371,19024076,0,0,0
372,19027424,0,-0,0
373,19030788,0,-0,0
374,19034164,0,-0,0
375,19037528,0,-0,0
376,19040888,0,-0,0
377,19044252,0,-0,0
378,19047624,0,-0,0
379,19051000,0,-0,0
380,19054372,0,0,0
381,19057740,0,-0,0
382,19061104,0,-0,0
383,19067572,0,0,0
384,19070944,-0,0,0
385,19074308,0,0,0
386,19077656,0,-0,0
387,19081032,0,-0,0
388,19084416,0,-0,0
389,19087792,-0,0,0
390,19091152,0,-0,0
391,19094524,0,-0,0
392,19097892,0,-0,0
393,19101276,0,-0,0
394,19104660,0,-0,0
395,19108028,0,-0,0
396,19111400,0,-0,0
397,19114772,0,-0,0
398,19118156,0,-0,0
399,19121536,0,-0,0
400,19124908,-0,-0,0
401,19128292,0,-0,0
402,19131676,0,-0,0
403,19135052,0,-0,0
404,19138428,-0,-0,0
405,19141816,0,-0,0
406,19145192,-0,-0,0
407,19148564,0,-0,0
408,19155132,0,0,0
409,19158492,0,-0,0
410,19161856,0,-0,0
411,19165232,0,-0,0
412,19168596,0,-0,0
413,19171960,0,-0,0
414,19175316,0,0,0
415,19178672,0,0,0
416,19182016,0,-0,0
417,19185388,0,-0,0
418,19188756,0,0,0
419,19192120,0,0,0
420,19195472,0,0,0
421,19198832,0,-0,0
422,19202212,0,-0,0
423,19205572,0,-0,0
424,19208932,0,-0,0
425,19212320,0,0,0
426,19215664,0,-0,0
427,19219040,0,-0,0
428,19222408,0,-0,0
429,19225800,0,-0,0
430,19229168,0,-0,0
431,19232548,0,-0,0
432,19235928,0,-0,0
433,19239296,0,-0,0
434,19245880,-0,-0,0
435,19249272,0,-0,0
436,19252652,-0,-0,0
437,19256040,0,-0,0
438,19259416,0,0,0
439,19262784,-0,-0,0
440,19266172,-0,-0,0
441,19269560,0,-0,0
442,19272936,-0,-0,0
443,19276336,0,-0,0
444,19279712,-0,-0,0
445,19283112,0,-0,0
446,19286476,-0,-0,0
447,19289864,-0,-0,0
448,19293256,0,-0,0
449,19296636,0,-0,0
450,19300008,0,0,0
451,19303384,0,-0,0
452,19306772,-0,-0,0
453,19310164,0,-0,0
454,19313544,-0,-0,0
455,19316924,0,-0,0
456,19320304,-0,-0,0
457,19323684,-0,-0,0
458,19327068,0,-0,0
459,19333636,-0,-0,0
460,19337028,0,-0,0
461,19340412,0,-0,0
462,19343780,0,-0,0
463,19347144,0,-0,0
464,19350536,0,-0,0
465,19353904,0,-0,0
466,19357288,0,-0,0
467,19360656,0,-0,0
468,19364028,0,-0,0
469,19367388,0,-0,0
470,19370756,0,-0,0
471,19374128,0,-0,0
472,19377484,0,-0,0
473,19380856,0,-0,0
474,19384220,0,-0,0
475,19387592,0,-0,0
476,19390968,0,-0,0
477,19394332,0,-0,0
478,19397708,0,-0,0
479,19401080,0,-0,0
480,19404456,-0,-0,0
481,19407848,0,-0,0
482,19411240,0,-0,-0
483,19414616,0,-0,0
484,19417976,0,-0,0
485,19424552,0,-0,0
486,19427920,0,-0,0
487,19431304,0,-0,0
488,19434692,0,0,0
489,19438064,0,-0,0
490,19441428,0,-0,0
491,19444816,0,-0,0
492,19448188,0,-0,0
493,19451564,0,-0,0
494,19454924,0,0,0
495,19458296,0,-0,0
496,19461652,0,0,0
497,19465000,0,-0,0
498,19468376,0,-0,0
499,19471740,0,-0,0
500,19475112,0,-0,0
501,19478484,0,0,0
502,19481848,0,0,0
503,19485200,0,0,0
504,19488556,0,-0,0
505,19491952,0,-0,0
506,19495316,0,-0,0
507,19498676,0,-0,0
508,19502044,0,0,0
509,19505404,0,-0,0
510,19508768,0,-0,0
511,19515348,0,-0,0
512,19518724,0,-0,0
513,19522096,0,-0,0
514,19525464,0,0,0
515,19528852,0,-0,-0
516,19532224,0,-0,0
517,19535596,-0,-0,0
518,19539004,0,-0,0
519,19542380,-0,-0,0
520,19545768,0,0,0
521,19549132,0,0,0
522,19552488,0,-0,0
523,19555860,-0,-0,0
524,19559240,0,-0,0
525,19562620,0,0,0
526,19565980,-0,0,0
527,19569348,0,-0,0
528,19572732,0,-0,0
529,19576104,-0,-0,0
530,19579500,-0,-0,0
531,19582884,0,0,0
532,19586244,0,-0,0
533,19589624,0,-0,0
534,19592996,-0,-0,0
535,19596384,-0,-0,0
536,19602976,0,-0,0
537,19606352,0,0,0
538,19609724,0,-0,0
539,19613092,0,-0,0
540,19616460,0,-0,0
541,19619832,0,0,0
542,19623200,0,0,0
543,19626544,0,0,0
544,19629904,0,0,0
545,19633276,0,-0,0
546,19636656,0,-0,0
547,19640016,0,-0,0
548,19643384,0,-0,0
549,19646756,0,-0,0
550,19650132,0,-0,0
551,19653508,0,-0,0
552,19656880,0,-0,0
553,19660252,0,-0,0
554,19663616,0,-0,0
555,19666996,0,-0,0
556,19670344,0,0,0
557,19673700,0,-0,0
558,19677080,0,-0,0
559,19680444,0,-0,0
560,19683808,0,0,0
561,19687156,0,0,0
562,19693604,0,0,0
563,19696964,0,-0,0
564,19700332,0,-0,0
565,19703704,0,-0,0
566,19707080,0,-0,0
567,19710444,0,-0,0
568,19713804,0,0,0
569,19717176,0,-0,0
570,19720540,0,-0,0
571,19723908,0,-0,0
572,19727280,-0,-0,0
573,19730664,0,0,0
574,19734032,-0,0,0
575,19737404,0,-0,0
576,19740792,-0,-0,0
577,19744160,0,-0,0
578,19747528,0,0,0
579,19750904,0,-0,0
580,19754268,0,0,0
581,19757624,0,-0,0
582,19761000,-0,-0,0
583,19764388,0,-0,0
584,19767760,0,-0,0
585,19771144,-0,-0,0
586,19774536,0,0,0
587,19777880,0,-0,0
588,19784352,0,-0,0
589,19787748,0,-0,0
590,19791124,-0,-0,0
591,19794500,0,0,0
592,19797872,0,-0,0
593,19801260,0,-0,0
594,19804628,0,-0,0
595,19807996,0,-0,0
596,19811372,0,0,0
597,19814732,0,0,0
598,19818080,0,0,0
599,19821448,0,-0,0
600,19824832,0,-0,0
601,19828208,-0,-0,0
602,19831600,0,-0,0
603,19834988,-0,-0,-0
604,19838372,0,-0,0
605,19841760,0,-0,0
606,19845136,0,-0,0
607,19848516,-0,-0,0
608,19851896,-0,0,0
609,19855284,0,-0,0
610,19858652,0,-0,0
611,19862024,0,-0,0
612,19865392,0,0,0
613,19868764,-0,-0,0
614,19875328,0,-0,0
615,19878692,0,-0,0
616,19882076,0,-0,0
617,19885436,0,-0,0
618,19888808,0,-0,0
619,19892188,0,-0,0
620,19895556,0,-0,0
621,19898928,0,-0,0
622,19902300,0,-0,0
623,19905672,0,-0,0
624,19909036,0,-0,0
625,19912408,0,-0,0
626,19915792,0,-0,0
627,19919156,0,-0,0
628,19922536,0,-0,0
629,19925916,0,-0,0
630,19929292,0,-0,0
631,19932660,0,-0,0
632,19936024,0,-0,0
633,19939400,0,-0,0
634,19942768,0,-0,0
635,19946132,0,-0,0
636,19949512,0,-0,0
637,19952888,0,-0,0
638,19956256,1,0,0
639,19962824,0,0,0
640,19966184,0,-0,0
641,19969540,0,0,0
642,19972900,0,-0,0
643,19976272,0,0,0
644,19979628,0,0,0
645,19982976,0,0,0
646,19986332,0,-0,0
647,19989712,0,-0,-0
648,19993096,0,-0,0
649,19996480,0,-0,0
650,19999880,0,-0,0
651,20003248,0,-0,0
652,20006616,-0,-0,0
653,20010020,-0,-0,0
654,20013412,0,-0,0
655,20016776,0,-0,0
656,20020164,-0,-0,0
657,20023556,-0,0,-0
658,20026940,-0,-0,0
659,20030324,-0,-0,0
660,20033724,-0,-0,0
661,20037116,-0,-0,0
662,20040520,-0,0,0
663,20043896,-0,0,0
664,20047268,-0,-0,0
665,20053824,-0,-0,0
666,20057224,-0,-0,0
667,20060600,-0,-0,0
668,20063972,-0,-0,0
669,20067356,-0,0,0
670,20070728,-0,-0,0
671,20074104,-0,-0,0
672,20077492,-0,0,-0
673,20080876,-0,0,0
674,20084248,-0,0,0
675,20087620,0,0,0
676,20091004,-0,-0,0
677,20094384,-0,-0,0
678,20097764,-0,-0,0
679,20101168,0,-0,0
680,20104540,0,-0,0
681,20107920,0,-0,0
682,20111292,0,-0,0
683,20114668,0,-0,0
684,20118032,0,-0,0
685,20121408,0,-0,0
686,20124788,0,-0,0
687,20128144,0,0,0
688,20131500,0,-0,0
689,20134872,0,-0,0
690,20141444,0,-0,0
691,20144796,0,0,0
692,20148152,0,-0,0
693,20151524,0,-0,0
694,20154892,0,-0,0
695,20158256,0,-0,0
696,20161632,0,-0,0
697,20164996,0,-0,0
698,20168364,1,-0,0
699,20171740,0,-0,0
700,20175112,1,-0,0
701,20178480,1,0,0
702,20181856,0,0,-0
703,20185244,0,-0,-0
704,20188632,-0,-1,-0
705,20192028,-1,-1,-0
706,20195460,-3,-1,-0
707,20198860,-3,0,0
708,20202236,-4,1,0
709,20205648,-3,1,0
710,20209048,-4,0,-0
711,20212444,-5,-1,-0
712,20215884,-8,-0,-4
713,20219316,-9,-2,-12
714,20222740,-9,-2,-13
715,20229412,-7,-2,-11
716,20232852,-12,-3,-12
717,20236336,-14,-3,-13
718,20239796,-11,-3,-12
719,20243236,-8,-2,-13
720,20246672,-7,-2,-14
721,20250108,-9,-2,-15
722,20253552,-12,-2,-16
723,20257020,-11,-1,-15
724,20260488,-7,-0,-14
725,20263928,-5,-0,-13
726,20267360,-5,-0,-12
727,20270784,-5,0,-10
728,20274200,-5,1,-8
729,20277588,-4,1,-6
730,20280956,-1,1,-4
731,20284332,1,1,-2
732,20287688,1,1,-0
733,20291036,1,1,2
734,20294388,1,1,4
735,20297744,2,0,4
736,20301112,4,-0,4
737,20304500,5,-1,3
738,20311100,7,-1,1
739,20314464,7,-1,0
740,20317824,9,-1,0
741,20321192,10,-1,1
742,20324580,11,-0,2
743,20327964,11,-0,2
744,20331348,11,-0,2
745,20334724,12,0,2
746,20338084,13,0,1
747,20341456,13,0,1
748,20344848,13,0,0
749,20348240,13,-0,0
750,20351632,12,-0,1
751,20355036,11,-0,1
752,20358432,11,-0,2
753,20361828,11,-1,2
754,20365216,10,-1,1
755,20368596,9,-1,1
756,20371976,8,-1,1
757,20375356,8,-0,1
758,20378752,7,-0,1
759,20382136,6,-0,1
760,20385528,5,-0,1
761,20388920,4,0,0
762,20392292,4,0,0
763,20398700,2,0,0
764,20402080,1,0,0
765,20405460,-0,-0,0
766,20408852,-1,-0,0
767,20412272,-2,-0,0
768,20415684,-3,-0,0
769,20419088,-3,-0,-0
770,20422524,-4,-0,-0
771,20425960,-5,-0,-0
772,20429380,-5,0,-0
773,20432772,-6,0,-0
774,20436168,-6,0,0
775,20439548,-6,0,-0
776,20442948,-6,-0,-0
777,20446372,-7,-0,-0
778,20449780,-7,-0,-0
779,20453192,-6,-0,-0
780,20456620,-6,-0,-0
781,20460040,-6,-0,-0
782,20463444,-5,-0,-0
783,20466868,-5,-0,-0
784,20470268,-5,-0,-0
785,20473664,-4,-0,-0
786,20477076,-4,0,-0
787,20483496,-3,0,0
788,20486864,-2,-0,0
789,20490248,-2,-0,0
790,20493604,-1,-0,0
791,20496984,-0,-0,0
792,20500360,0,-0,0
793,20503732,1,-0,0
794,20507080,2,-0,0
795,20510444,2,-0,1
796,20513820,3,-0,0
797,20517148,3,0,1
798,20520488,3,0,0
799,20523836,4,0,0
800,20527172,4,-0,1
801,20530544,4,-0,0
802,20533916,4,-0,0
803,20537284,4,-0,1
804,20540664,5,-0,1
805,20544028,4,-0,1
806,20547400,4,-0,1
807,20550784,4,-0,0
808,20554148,4,-0,0
809,20557508,4,0,0
810,20560868,3,0,0
811,20564228,3,0,1
812,20567584,2,0,0
813,20579152,1,0,0
814,20582536,0,-0,0
815,20585908,-0,0,0
816,20589284,-1,-0,0
817,20592676,-1,-0,0
818,20596060,-2,0,-0
819,20599452,-2,-0,-0
820,20602860,-3,-0,-0
821,20606288,-3,0,-0
822,20609676,-4,0,-0
823,20613080,-4,-0,-0
824,20616504,-4,0,-0
825,20619896,-4,0,-0
826,20623300,-4,-0,0
827,20626704,-4,-0,-0
828,20630124,-5,-0,-0
829,20633536,-4,-0,-0
830,20636940,-4,-0,0
831,20640332,-4,-0,0
832,20643724,-4,-0,0
833,20647112,-4,-0,0
834,20650496,-3,-0,0
835,20653884,-3,-0,0
836,20657268,-3,-0,0
837,20663840,-2,-0,0
838,20667212,-1,0,1
839,20670588,-0,-0,1
840,20673960,0,-0,1
841,20677320,1,-0,1
842,20680668,2,-0,1
843,20684016,2,0,1
844,20687360,3,-0,1
845,20690720,3,0,1
846,20694084,4,-0,1
847,20697456,4,-0,1
848,20700820,5,-0,1
849,20704192,5,-0,0
850,20707564,6,-0,0
851,20710936,6,-0,0
852,20714312,6,-0,0
853,20717708,6,-0,0
854,20721088,5,-0,0
855,20724460,5,0,0
856,20727828,5,-0,0
857,20731196,5,0,0
858,20734568,4,-0,-0
859,20737956,3,-0,-0
860,20741372,3,-0,-0
861,20744784,3,-0,-0
862,20748160,2,0,0
863,20754708,0,0,1
864,20758056,-0,0,1
865,20761440,-1,-0,1
866,20764832,-1,-0,0
867,20768232,-2,-0,-0
868,20771636,-2,-0,-0
869,20775048,-2,0,-0
870,20778432,-3,0,0
871,20781812,-3,0,0
872,20785204,-3,0,0
873,20788584,-3,0,0
874,20791972,-3,-0,-0
875,20795380,-3,0,-0
876,20798776,-3,-0,-1
877,20802172,-3,0,-0
878,20805556,-3,0,-0
879,20808940,-3,0,0
880,20812316,-3,0,0
881,20815704,-3,0,-0
882,20819132,-3,-0,-0
883,20822532,-2,0,-0
884,20825932,-2,0,-0
885,20829328,-2,-0,-0
886,20832724,-2,0,0
887,20839304,-1,-0,0
888,20842684,-1,-0,0
889,20846072,-1,-0,0
890,20849464,-1,-0,0
891,20852848,-0,-0,0
892,20856220,-0,-0,0
893,20859592,0,-0,0
894,20862956,0,-0,0
895,20866308,1,0,0
